plz,bundesland,ort
57610,Rheinland-Pfalz,Almersbach
46519,Nordrhein-Westfalen,Alpen
57642,Rheinland-Pfalz,Alpenrod
57647,Rheinland-Pfalz,Alpenrod
99195,Thüringen,Alperstedt
72275,Baden-Württemberg,Alpirsbach
56237,Rheinland-Pfalz,Alsbach
64665,Hessen,Alsbach-Hähnlein
52477,Nordrhein-Westfalen,Alsdorf
57518,Rheinland-Pfalz,Alsdorf
54668,Rheinland-Pfalz,Alsdorf
67821,Rheinland-Pfalz,Alsenz
36304,Hessen,Alsfeld
67577,Rheinland-Pfalz,Alsheim
6425,Sachsen-Anhalt,Alsleben
73776,Baden-Württemberg,Altbach
24848,Schleswig-Holstein,Alt Bennebek
18233,Mecklenburg-Vorpommern,Alt Bukow
3229,Brandenburg,Altdöbern
84032,Bayern,Altdorf
71155,Baden-Württemberg,Altdorf
72655,Baden-Württemberg,Altdorf
67482,Rheinland-Pfalz,Altdorf
90518,Bayern,Altdorf bei Nürnberg
24782,Schleswig-Holstein,Alt Duvenstedt
24791,Schleswig-Holstein,Alt Duvenstedt
24811,Schleswig-Holstein,Alt Duvenstedt
18573,Mecklenburg-Vorpommern,Altefähr
93087,Bayern,Alteglofsheim
58762,Nordrhein-Westfalen,Altena
53505,Rheinland-Pfalz,Altenahr
55585,Rheinland-Pfalz,Altenbamberg
33184,Nordrhein-Westfalen,Altenbeken
1773,Sachsen,Altenberg
1778,Sachsen,Altenberg
7768,Thüringen,Altenberga
48341,Nordrhein-Westfalen,Altenberge
7338,Thüringen,Altenbeuthen
97901,Bayern,Altenbuch
4600,Thüringen,Altenburg
65624,Rheinland-Pfalz,Altendiez
92540,Bayern,Altendorf
96146,Bayern,Altendorf
66885,Rheinland-Pfalz,Altenglan
17091,Mecklenburg-Vorpommern,Altenhagen
39343,Sachsen-Anhalt,Altenhausen
24340,Schleswig-Holstein,Altenhof
17209,Mecklenburg-Vorpommern,Altenhof
24161,Schleswig-Holstein,Altenholz
66903,Rheinland-Pfalz,Altenkirchen
18556,Mecklenburg-Vorpommern,Altenkirchen
57610,Rheinland-Pfalz,Altenkirchen (Westerwald)
23730,Schleswig-Holstein,Altenkrempe
96264,Bayern,Altenkunstadt
83352,Bayern,Altenmarkt an der Alz
29575,Niedersachsen,Altenmedingen
25335,Schleswig-Holstein,Altenmoor
86450,Bayern,Altenmünster
18445,Mecklenburg-Vorpommern,Altenpleen
72657,Baden-Württemberg,Altenriet
63674,Hessen,Altenstadt
86972,Bayern,Altenstadt
89281,Bayern,Altenstadt
92665,Bayern,Altenstadt an der Waldnaab
72213,Baden-Württemberg,Altensteig
93177,Bayern,Altenthann
17087,Mecklenburg-Vorpommern,Altentreptow
56288,Rheinland-Pfalz,Alterkülz
97237,Bayern,Altertheim
84169,Bayern,Altfraunhofen
82278,Bayern,Althegnenberg
88499,Baden-Württemberg,Altheim
89605,Baden-Württemberg,Altheim
89174,Baden-Württemberg,Altheim (Alb)
75382,Baden-Württemberg,Althengstett
66484,Rheinland-Pfalz,Althornbach
71566,Baden-Württemberg,Althütte
16247,Brandenburg,Althüttendorf
17179,Mecklenburg-Vorpommern,Altkalen
19288,Mecklenburg-Vorpommern,Alt Krenzlin
15345,Brandenburg,Altlandsberg
56858,Rheinland-Pfalz,Altlay
67316,Rheinland-Pfalz,Altleiningen
67317,Rheinland-Pfalz,Altleiningen
68804,Baden-Württemberg,Altlußheim
93336,Bayern,Altmannstein
39606,Sachsen-Anhalt,Altmärkische Höhe
39615,Sachsen-Anhalt,Altmärkische Höhe
39615,Sachsen-Anhalt,Altmärkische Wische
19069,Mecklenburg-Vorpommern,Alt Meteln
9648,Sachsen,Altmittweida
23881,Schleswig-Holstein,Alt Mölln
85250,Bayern,Altomünster
84503,Bayern,Altötting
54518,Rheinland-Pfalz,Altrich
67122,Rheinland-Pfalz,Altrip
54636,Rheinland-Pfalz,Altscheid
17214,Mecklenburg-Vorpommern,Alt Schwerin
88361,Baden-Württemberg,Altshausen
56858,Rheinland-Pfalz,Altstrimmig
17166,Mecklenburg-Vorpommern,Alt Sührkow
17129,Mecklenburg-Vorpommern,Alt Tellin
15328,Brandenburg,Alt Tucheband
87452,Bayern,Altusried
17375,Mecklenburg-Vorpommern,Altwarp
55469,Rheinland-Pfalz,Altweidelbach
17379,Mecklenburg-Vorpommern,Altwigshagen
19230,Mecklenburg-Vorpommern,Alt Zachun
15913,Brandenburg,Alt Zauche-Wußwerk
25486,Schleswig-Holstein,Alveslohe
63755,Bayern,Alzenau
55232,Rheinland-Pfalz,Alzey
92224,Bayern,Amberg
86854,Bayern,Amberg
21385,Niedersachsen,Amelinghausen
83123,Bayern,Amerang
86735,Bayern,Amerdingen
99439,Thüringen,Am Ettersberg
39393,Sachsen-Anhalt,Am Großen Bruch
54675,Rheinland-Pfalz,Ammeldingen an der Our
54673,Rheinland-Pfalz,Ammeldingen bei Neuerburg
15838,Brandenburg,Am Mellensee
72119,Baden-Württemberg,Ammerbuch
90614,Bayern,Ammerndorf
22949,Schleswig-Holstein,Ammersbek
92260,Bayern,Ammerthal
37345,Thüringen,Am Ohmberg
35287,Hessen,Amöneburg
63916,Bayern,Amorbach
84539,Bayern,Ampfing
18233,Mecklenburg-Vorpommern,Am Salzhaff
73340,Baden-Württemberg,Amstetten
99831,Thüringen,Amt Creuzburg
19273,Niedersachsen,Amt Neuhaus
9439,Sachsen,Amtsberg
99102,Thüringen,Amt Wachsenburg
99334,Thüringen,Amt Wachsenburg
88279,Baden-Württemberg,Amtzell
82346,Bayern,Andechs
27446,Niedersachsen,Anderlingen
56626,Rheinland-Pfalz,Andernach
6647,Sachsen-Anhalt,An der Poststraße
6577,Thüringen,An der Schmücke
49832,Niedersachsen,Andervenne
99189,Thüringen,Andisleben
74918,Baden-Württemberg,Angelbachtal
35719,Hessen,Angelburg
83454,Bayern,Anger
16278,Brandenburg,Angermünde
39326,Sachsen-Anhalt,Angern
39517,Sachsen-Anhalt,Angern
56584,Rheinland-Pfalz,Anhausen
17219,Mecklenburg-Vorpommern,Ankershagen
17389,Mecklenburg-Vorpommern,Anklam
49577,Niedersachsen,Ankum
9456,Sachsen,Annaberg-Buchholz
6925,Sachsen-Anhalt,Annaburg
76855,Rheinland-Pfalz,Annweiler am Trifels
59609,Nordrhein-Westfalen,Anröchte
99976,Thüringen,Anrode
91522,Bayern,Ansbach
56729,Rheinland-Pfalz,Anschau
82387,Bayern,Antdorf
36326,Hessen,Antrifttal
53533,Rheinland-Pfalz,Antweiler
85646,Bayern,Anzing
31552,Niedersachsen,Apelern
26689,Niedersachsen,Apen
38486,Sachsen-Anhalt,Apenburg-Winterfeld
21641,Niedersachsen,Apensen
86974,Bayern,Apfeldorf
87742,Bayern,Apfeltrach
99510,Thüringen,Apolda
21279,Niedersachsen,Appel
25482,Schleswig-Holstein,Appen
55437,Rheinland-Pfalz,Appenheim
77767,Baden-Württemberg,Appenweier
56769,Rheinland-Pfalz,Arbach
91722,Bayern,Arberg
53533,Rheinland-Pfalz,Aremberg
39619,Sachsen-Anhalt,Arendsee (Altmark)
54518,Rheinland-Pfalz,Arenrath
37318,Thüringen,Arenshausen
86561,Bayern,Aresing
56729,Rheinland-Pfalz,Arft
88260,Baden-Württemberg,Argenbühl
55595,Rheinland-Pfalz,Argenschwang
55496,Rheinland-Pfalz,Argenthal
37627,Niedersachsen,Arholzen
25767,Schleswig-Holstein,Arkebek
25860,Schleswig-Holstein,Arlewatt
55288,Rheinland-Pfalz,Armsheim
24616,Schleswig-Holstein,Armstedt
21769,Niedersachsen,Armstorf
93471,Bayern,Arnbruck
39596,Sachsen-Anhalt,Arneburg
24399,Schleswig-Holstein,Arnis
59755,Nordrhein-Westfalen,Arnsberg
59757,Nordrhein-Westfalen,Arnsberg
59759,Nordrhein-Westfalen,Arnsberg
59821,Nordrhein-Westfalen,Arnsberg
59823,Nordrhein-Westfalen,Arnsberg
93473,Bayern,Arnschwang
1477,Sachsen,Arnsdorf
56244,Rheinland-Pfalz,Arnshöfen
99310,Thüringen,Arnstadt
97450,Bayern,Arnstein
6456,Sachsen-Anhalt,Arnstein
94424,Bayern,Arnstorf
24634,Schleswig-Holstein,Arpsdorf
93474,Bayern,Arrach
6556,Thüringen,Artern
21380,Niedersachsen,Artlenburg
56337,Rheinland-Pfalz,Arzbach
4886,Sachsen,Arzberg
95659,Bayern,Arzberg
54687,Rheinland-Pfalz,Arzfeld
53567,Rheinland-Pfalz,Asbach
55758,Rheinland-Pfalz,Asbach
86663,Bayern,Asbach-Bäumenheim
37318,Thüringen,Asbach-Sickenberg
94347,Bayern,Ascha
63739,Bayern,Aschaffenburg
63741,Bayern,Aschaffenburg
63743,Bayern,Aschaffenburg
84544,Bayern,Aschau am Inn
83229,Bayern,Aschau im Chiemgau
67753,Rheinland-Pfalz,Aschbach
59387,Nordrhein-Westfalen,Ascheberg
24326,Schleswig-Holstein,Ascheberg
24358,Schleswig-Holstein,Ascheffel
6449,Sachsen-Anhalt,Aschersleben
85609,Bayern,Aschheim
21271,Niedersachsen,Asendorf
27330,Niedersachsen,Asendorf
71546,Baden-Württemberg,Aspach
71679,Baden-Württemberg,Asperg
55459,Rheinland-Pfalz,Aspisheim
97959,Baden-Württemberg,Assamstadt
89176,Baden-Württemberg,Asselfingen
35614,Hessen,Aßlar
85617,Bayern,Aßling
57627,Rheinland-Pfalz,Astert
57439,Nordrhein-Westfalen,Attendorn
56370,Rheinland-Pfalz,Attenhausen
84091,Bayern,Attenhofen
85395,Bayern,Attenkirchen
88448,Baden-Württemberg,Attenweiler
94348,Bayern,Atting
57629,Rheinland-Pfalz,Atzelgift
79280,Baden-Württemberg,Au
76474,Baden-Württemberg,Au am Rhein
97239,Bayern,Aub
97633,Bayern,Aubstadt
56766,Rheinland-Pfalz,Auderath
8280,Sachsen,Aue-Bad Schlema
8301,Sachsen,Aue-Bad Schlema
56357,Rheinland-Pfalz,Auel
55569,Rheinland-Pfalz,Auen
98673,Thüringen,Auengrund
71549,Baden-Württemberg,Auenwald
9392,Sachsen,Auerbach
94530,Bayern,Auerbach
91275,Bayern,Auerbach in der Oberpfalz
8209,Sachsen,Auerbach/Vogtland
31749,Niedersachsen,Auetal
93089,Bayern,Aufhausen
91347,Bayern,Aufseß
79424,Baden-Württemberg,Auggen
86150,Bayern,Augsburg
86152,Bayern,Augsburg
86153,Bayern,Augsburg
86154,Bayern,Augsburg
86156,Bayern,Augsburg
86157,Bayern,Augsburg
86159,Bayern,Augsburg
86161,Bayern,Augsburg
86163,Bayern,Augsburg
86165,Bayern,Augsburg
86167,Bayern,Augsburg
86169,Bayern,Augsburg
86179,Bayern,Augsburg
86199,Bayern,Augsburg
32832,Nordrhein-Westfalen,Augustdorf
9573,Sachsen,Augustusburg
31553,Niedersachsen,Auhagen
86736,Bayern,Auhausen
84072,Bayern,Au in der Hallertau
24613,Schleswig-Holstein,Aukrug
88326,Baden-Württemberg,Aulendorf
65582,Rheinland-Pfalz,Aull
7955,Thüringen,Auma-Weidatal
21521,Schleswig-Holstein,Aumühle
97717,Bayern,Aura a.d.Saale
91589,Bayern,Aurach
91086,Bayern,Aurachtal
97773,Bayern,Aura im Sinngrund
26603,Niedersachsen,Aurich
26605,Niedersachsen,Aurich
26607,Niedersachsen,Aurich
24975,Schleswig-Holstein,Ausacker
39393,Sachsen-Anhalt,Ausleben
94532,Bayern,Außernzell
25548,Schleswig-Holstein,Auufer
54664,Rheinland-Pfalz,Auw an der Kyll
54597,Rheinland-Pfalz,Auw bei Prüm
25927,Schleswig-Holstein,Aventoft
25715,Schleswig-Holstein,Averlak
27729,Niedersachsen,Axstedt
85653,Bayern,Aying
54441,Rheinland-Pfalz,Ayl
86482,Bayern,Aystetten
18586,Mecklenburg-Vorpommern,Baabe
86674,Bayern,Baar
56729,Rheinland-Pfalz,Baar
85107,Bayern,Baar-Ebenhausen
64832,Hessen,Babenhausen
87727,Bayern,Babenhausen
83547,Bayern,Babensham
93090,Bayern,Bach an der Donau
55422,Rheinland-Pfalz,Bacharach
57610,Rheinland-Pfalz,Bachenberg
89429,Bayern,Bachhagel
89431,Bayern,Bächingen a.d.Brenz
71522,Baden-Württemberg,Backnang
93077,Bayern,Bad Abbach
83043,Bayern,Bad Aibling
95680,Bayern,Bad Alexandersbad
34454,Hessen,Bad Arolsen
82435,Bayern,Bad Bayersoien
79415,Baden-Württemberg,Bad Bellingen
14806,Brandenburg,Bad Belzig
48455,Niedersachsen,Bad Bentheim
49635,Niedersachsen,Badbergen
76887,Rheinland-Pfalz,Bad Bergzabern
99438,Thüringen,Bad Berka
57319,Nordrhein-Westfalen,Bad Berleburg
95460,Bayern,Bad Berneck im Fichtelgebirge
56864,Rheinland-Pfalz,Bad Bertrich
29549,Niedersachsen,Bad Bevensen
6647,Sachsen-Anhalt,Bad Bibra
84364,Bayern,Bad Birnbach
7422,Thüringen,Bad Blankenburg
97708,Bayern,Bad Bocklet
29389,Niedersachsen,Bad Bodenteich
73087,Baden-Württemberg,Bad Boll
8648,Sachsen,Bad Brambach
24576,Schleswig-Holstein,Bad Bramstedt
53498,Rheinland-Pfalz,Bad Breisig
97769,Bayern,Bad Brückenau
88422,Baden-Württemberg,Bad Buchau
65520,Hessen,Bad Camberg
38271,Niedersachsen,Baddeckenstedt
73312,Baden-Württemberg,Bad Ditzenbach
73342,Baden-Württemberg,Bad Ditzenbach
73345,Baden-Württemberg,Bad Ditzenbach
18209,Mecklenburg-Vorpommern,Bad Doberan
33014,Nordrhein-Westfalen,Bad Driburg
4849,Sachsen,Bad Düben
67098,Rheinland-Pfalz,Bad Dürkheim
6231,Sachsen-Anhalt,Bad Dürrenberg
78073,Baden-Württemberg,Bad Dürrheim
31707,Niedersachsen,Bad Eilsen
8645,Sachsen,Bad Elster
54657,Rheinland-Pfalz,Badem
56130,Rheinland-Pfalz,Bad Ems
34308,Hessen,Bad Emstal
76530,Baden-Württemberg,Baden-Baden
76532,Baden-Württemberg,Baden-Baden
76534,Baden-Württemberg,Baden-Baden
35080,Hessen,Bad Endbach
23619,Schleswig-Holstein,Badendorf
83093,Bayern,Bad Endorf
56291,Rheinland-Pfalz,Badenhard
55576,Rheinland-Pfalz,Badenheim
79410,Baden-Württemberg,Badenweiler
49152,Niedersachsen,Bad Essen
29683,Niedersachsen,Bad Fallingbostel
83075,Bayern,Bad Feilnbach
6567,Thüringen,Bad Frankenhausen/Kyffhäuser
16259,Brandenburg,Bad Freienwalde (Oder)
74177,Baden-Württemberg,Bad Friedrichshall
94072,Bayern,Bad Füssing
37581,Niedersachsen,Bad Gandersheim
1816,Sachsen,Bad Gottleuba-Berggießhübel
94086,Bayern,Bad Griesbach i.Rottal
87730,Bayern,Bad Grönenbach
37539,Niedersachsen,Bad Grund
38667,Niedersachsen,Bad Harzburg
83670,Bayern,Bad Heilbrunn
76332,Baden-Württemberg,Bad Herrenalb
36251,Hessen,Bad Hersfeld
87541,Bayern,Bad Hindelang
61348,Hessen,Bad Homburg vor der Höhe
61350,Hessen,Bad Homburg vor der Höhe
61352,Hessen,Bad Homburg vor der Höhe
53604,Nordrhein-Westfalen,Bad Honnef
53547,Rheinland-Pfalz,Bad Hönningen
53557,Rheinland-Pfalz,Bad Hönningen
49186,Niedersachsen,Bad Iburg
34385,Hessen,Bad Karlshafen
97688,Bayern,Bad Kissingen
23996,Mecklenburg-Vorpommern,Bad Kleinen
7639,Thüringen,Bad Klosterlausnitz
82433,Bayern,Bad Kohlgrub
64732,Hessen,Bad König
97631,Bayern,Bad Königshofen im Grabfeld
7586,Thüringen,Bad Köstritz
93444,Bayern,Bad Kötzting
55543,Rheinland-Pfalz,Bad Kreuznach
55545,Rheinland-Pfalz,Bad Kreuznach
55583,Rheinland-Pfalz,Bad Kreuznach
79189,Baden-Württemberg,Bad Krozingen
57334,Nordrhein-Westfalen,Bad Laasphe
49196,Niedersachsen,Bad Laer
99947,Thüringen,Bad Langensalza
4651,Sachsen,Bad Lausick
37431,Niedersachsen,Bad Lauterberg
36448,Thüringen,Bad Liebenstein
4895,Brandenburg,Bad Liebenwerda
4924,Brandenburg,Bad Liebenwerda
4931,Brandenburg,Bad Liebenwerda
75378,Baden-Württemberg,Bad Liebenzell
33175,Nordrhein-Westfalen,Bad Lippspringe
7356,Thüringen,Bad Lobenstein
56470,Rheinland-Pfalz,Bad Marienberg (Westerwald)
97980,Baden-Württemberg,Bad Mergentheim
31848,Niedersachsen,Bad Münder am Deister
53902,Nordrhein-Westfalen,Bad Münstereifel
2953,Sachsen,Bad Muskau - Mužakow
61231,Hessen,Bad Nauheim
31542,Niedersachsen,Bad Nenndorf
53474,Rheinland-Pfalz,Bad Neuenahr-Ahrweiler
97616,Bayern,Bad Neustadt an der Saale
32545,Nordrhein-Westfalen,Bad Oeynhausen
32547,Nordrhein-Westfalen,Bad Oeynhausen
32549,Nordrhein-Westfalen,Bad Oeynhausen
23843,Schleswig-Holstein,Bad Oldesloe
63619,Hessen,Bad Orb
72250,Baden-Württemberg,Bad Peterstal-Griesbach
77740,Baden-Württemberg,Bad Peterstal-Griesbach
31812,Niedersachsen,Bad Pyrmont
74906,Baden-Württemberg,Bad Rappenau
83435,Bayern,Bad Reichenhall
77776,Baden-Württemberg,Bad Rippoldsau-Schapbach
96476,Bayern,Bad Rodach
49214,Niedersachsen,Bad Rothenfelde
15526,Brandenburg,Bad Saarow
37441,Niedersachsen,Bad Sachsa
79713,Baden-Württemberg,Bad Säckingen
31162,Niedersachsen,Bad Salzdetfurth
36364,Hessen,Bad Salzschlirf
32105,Nordrhein-Westfalen,Bad Salzuflen
32107,Nordrhein-Westfalen,Bad Salzuflen
32108,Nordrhein-Westfalen,Bad Salzuflen
36433,Thüringen,Bad Salzungen
36469,Thüringen,Bad Salzungen
59505,Nordrhein-Westfalen,Bad Sassendorf
88348,Baden-Württemberg,Bad Saulgau
1814,Sachsen,Bad Schandau
6905,Sachsen-Anhalt,Bad Schmiedeberg
76669,Baden-Württemberg,Bad Schönborn
88427,Baden-Württemberg,Bad Schussenried
65307,Hessen,Bad Schwalbach
23611,Schleswig-Holstein,Bad Schwartau
23795,Schleswig-Holstein,Bad Segeberg
55566,Rheinland-Pfalz,Bad Sobernheim
65812,Hessen,Bad Soden
63628,Hessen,Bad Soden-Salmünster
37242,Hessen,Bad Sooden-Allendorf
96231,Bayern,Bad Staffelstein
95138,Bayern,Bad Steben
99518,Thüringen,Bad Sulza
18334,Mecklenburg-Vorpommern,Bad Sülze
99891,Thüringen,Bad Tabarz
75385,Baden-Württemberg,Bad Teinach-Zavelstein
99955,Thüringen,Bad Tennstedt
83646,Bayern,Bad Tölz
73337,Baden-Württemberg,Bad Überkingen
72574,Baden-Württemberg,Bad Urach
61118,Hessen,Bad Vilbel
88339,Baden-Württemberg,Bad Waldsee
83707,Bayern,Bad Wiessee
75323,Baden-Württemberg,Bad Wildbad
34537,Hessen,Bad Wildungen
19336,Brandenburg,Bad Wilsnack
74206,Baden-Württemberg,Bad Wimpfen
91438,Bayern,Bad Windsheim
86825,Bayern,Bad Wörishofen
33181,Nordrhein-Westfalen,Bad Wünnenberg
88410,Baden-Württemberg,Bad Wurzach
34596,Hessen,Bad Zwesten
26160,Niedersachsen,Bad Zwischenahn
52499,Nordrhein-Westfalen,Baesweiler
79353,Baden-Württemberg,Bahlingen
38459,Niedersachsen,Bahrdorf
27245,Niedersachsen,Bahrenborstel
25569,Schleswig-Holstein,Bahrenfleth
23845,Schleswig-Holstein,Bahrenhof
1819,Sachsen,Bahretal
88255,Baden-Württemberg,Baienfurt
84171,Bayern,Baierbach
82065,Bayern,Baierbrunn
85625,Bayern,Baiern
72270,Baden-Württemberg,Baiersbronn
91083,Bayern,Baiersdorf
88255,Baden-Württemberg,Baindt
87650,Bayern,Baisweil
23909,Schleswig-Holstein,Bäk
49456,Niedersachsen,Bakum
23881,Schleswig-Holstein,Bälau
87538,Bayern,Balderschwang
54314,Rheinland-Pfalz,Baldringen
65558,Rheinland-Pfalz,Balduinstein
54597,Rheinland-Pfalz,Balesfeld
31609,Niedersachsen,Balge
78582,Baden-Württemberg,Balgheim
6632,Sachsen-Anhalt,Balgstädt
72336,Baden-Württemberg,Balingen
21730,Niedersachsen,Balje
89177,Baden-Württemberg,Ballendorf
6493,Sachsen-Anhalt,Ballenstedt
99955,Thüringen,Ballhausen
79282,Baden-Württemberg,Ballrechten-Dottingen
99439,Thüringen,Ballstedt
19300,Mecklenburg-Vorpommern,Balow
73666,Baden-Württemberg,Baltmannsweiler
26579,Niedersachsen,Baltrum
58802,Nordrhein-Westfalen,Balve
86483,Bayern,Balzhausen
88481,Baden-Württemberg,Balzheim
96047,Bayern,Bamberg
96049,Bayern,Bamberg
96050,Bayern,Bamberg
96052,Bayern,Bamberg
69245,Baden-Württemberg,Bammental
17506,Mecklenburg-Vorpommern,Bandelin
19230,Mecklenburg-Vorpommern,Bandenitz
66851,Rheinland-Pfalz,Bann
56424,Rheinland-Pfalz,Bannberscheid
1728,Sachsen,Bannewitz
19079,Mecklenburg-Vorpommern,Banzkow
76889,Rheinland-Pfalz,Barbelroth
93092,Bayern,Barbing
39240,Sachsen-Anhalt,Barby
39249,Sachsen-Anhalt,Barby
36456,Thüringen,Barchfeld-Immelborn
21357,Niedersachsen,Bardowick
55483,Rheinland-Pfalz,Bärenbach
55758,Rheinland-Pfalz,Bärenbach
27245,Niedersachsen,Barenburg
